eFUA_ID,Cntry_ISO,Cntry_name,Com_p_2015,Commuting,FUA_area,FUA_p_2015,UC_IDs,UC_area,UC_num,UC_p_2015,dmg100_count,dmg100_mean,dmg10_count,dmg10_mean,dmg200_count,dmg200_mean,dmg20_count,dmg20_mean,dmg500_count,dmg500_mean,dmg50_count,dmg50_mean,eFUA_name,exDmgFP_count,exDmgFP_mean,exDmg_count,exDmg_mean,exDmg_prosDn_count,exDmg_prosDn_mean,exDmg_pros_count,exDmg_pros_mean,exDmg_tail_count,exDmg_tail_mean,exInunD_a05_count,exInunD_a05_mean,exInunD_a20_count,exInunD_a20_mean,exInunD_count,exInunD_mean,exInunD_prosDn_count,exInunD_prosDn_mean,exInunD_pros_count,exInunD_pros_mean,exInunD_tail_count,exInunD_tail_mean,fid_1,height_count,height_mean,inun100_count,inun100_mean,inun10_count,inun10_mean,inun200_count,inun200_mean,inun20_count,inun20_mean,inun500_count,inun500_mean,inun50_count,inun50_mean,region_file,wld_rgn
15.0,BGR,Bulgaria,,,1352.0,1423934.91426,,,,,798,0.3908440319786963,798,0.2827224977927343,798,0.4035125652556536,798,0.3362815415782803,798,0.4167143009795317,798,0.3742871385494783,Sofia,5506,0.0356506674722693,798,0.0331755185838963,798,0.0083174605441945,798,0.0042384340677321,798,0.0340089473032395,798,0.0604711097424337,798,0.0284732060309299,798,0.0430675596351802,798,0.0107618015708995,798,0.0054629893907546,798,0.0441295540238909,712,798,2.83382137513469,798,0.5070371787800918,798,0.3686795088560305,798,0.5210182024781269,798,0.4367780904374459,798,0.5309971299576414,798,0.4848050562587969,Europe,Europe
16.0,BHR,Bahrain,,,670.0,1369162.16931,,,,,0,,0,,0,,0,,0,,0,,Manama,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,274,0,,0,,0,,0,,0,,0,,0,,SWAsia,SW Asia
73.0,HKG,HongKong,138002.749973,1.0,684.0,5845663.06696,12274,348.0,1.0,5707660.31699,212,0.584501825698566,212,0.4000000059604645,212,0.6432094503981735,212,0.4000000059604645,212,0.6950923401966005,212,0.476630193206392,Hong Kong,648,0.0431535508964572,212,0.0435318442818605,212,0.0077365851235126,212,0.0058861946632504,212,0.0449220280262506,212,0.0551541599300901,212,0.0169136353065918,212,0.0345345047740503,212,0.005115404945207,212,0.0033637686042721,212,0.0357802837119582,3434,212,5.788446128332139,212,0.5504148049650015,212,0.2976466435291791,212,0.6008759004947309,212,0.2976466435291791,212,0.6228895648269711,212,0.3860761990929882,EAsia,E Asia
85.0,ITA,Italy,,,1708.0,1784834.15615,,,,,7454,0.6554038772291589,7454,0.5039633027433088,7454,0.6818315243732382,7454,0.5729956188007568,7454,0.7071221451438547,7454,0.6239626695732031,Turin,23195,0.0509036148143809,7454,0.0567016987716863,7454,0.0132375959221009,7454,0.0068407632369682,7454,0.0581159432692576,7454,0.0670216541879491,7454,0.0403655983318592,7454,0.0526860421670798,7454,0.012384718641195,7454,0.006401851709404,7454,0.0540114878119425,5724,7454,5.712259530108945,7454,0.6132581714388159,7454,0.4660093842436054,7454,0.6372944530078535,7454,0.5306701438775481,7454,0.6627224392651414,7454,0.5833152260302564,Europe,Europe
94.0,KOR,SouthKorea,2346174.08081,1.0,7053.0,24287447.2125,12389;12431;12453;12462;12477,2586.0,5.0,21941273.1316,34659,0.936366095505,34659,0.7577275511877679,34659,0.946848307024338,34659,0.8651816464954284,34659,0.9516439582354224,34659,0.9187140118911892,Seoul,55427,0.0843800512573467,34659,0.0841623394780061,34659,0.024029545997459,34659,0.0164604241265526,34659,0.0860656272030822,34659,0.0800144804401709,34659,0.0619153025080598,34659,0.0707643841489419,34659,0.0207654627406892,34659,0.0139395472064769,34659,0.0725039194647906,7760,34659,6.888529629961319,34659,0.8252174805930389,34659,0.6130394324233431,34659,0.8485791757912388,34659,0.7179121356581181,34659,0.8697669387814014,34659,0.7916907796116849,EAsia,E Asia
98.0,LBR,Liberia,60638.9145083,1.0,451.0,1482214.91226,1526,256.0,1.0,1421575.99775,11698,0.8961607873307056,11698,0.5736851590307848,11698,0.929287728428816,11698,0.7249411443800944,11698,0.9528019037786296,11698,0.843677303251205,Monrovia,15370,0.0723757120426988,11698,0.072080881247031,11698,0.0739864835571371,11698,0.0452561950798382,11698,0.0739864835571371,11698,0.0763052999535076,11698,0.0510585486840953,11698,0.0639559283671082,11698,0.0657569013691781,11698,0.0409531870665812,11698,0.0657569013691781,5993,11698,5.574140037814006,11698,0.8071905226770807,11698,0.515933742050573,11698,0.8548574752722522,11698,0.6324686850640803,11698,0.9004860889760032,11698,0.746737498459462,Africa,Africa
117.0,MNG,Mongolia,,,383.0,1360931.8323,,,,,1393,0.3804716180524596,1393,0.3008522792643878,1393,0.3962004536780464,1393,0.3311487637360004,1393,0.4139787090545218,1393,0.3628272906443056,Ulaanbaatar,5618,0.0346444932148886,1393,0.0330831103925334,1393,0.0339110677757309,1393,0.0339110677757309,1393,0.0339110677757309,1393,0.0435774862383402,1393,0.008917238827576,1393,0.0227618647276113,1393,0.0233751344362532,1393,0.0233751344362532,1393,0.0233751344362532,6246,1393,4.056281802323298,1393,0.2714365544250071,1393,0.2002572581674174,1393,0.2880702742211672,1393,0.2259920096383088,1393,0.3066348537175598,1393,0.253387268210306,CAsia,E Asia
118.0,MOZ,Mozambique,150105.466335,1.0,690.0,2579017.68704,4220,423.0,1.0,2428912.22071,1997,0.5272985759222366,1997,0.2392530357749442,1997,0.5835647289842691,1997,0.3513698774130309,1997,0.6378394945397016,1997,0.4620908414186631,Maputo,6561,0.0378109201566858,1997,0.0365236951986676,1997,0.0246017041738431,1997,0.0135872998346537,1997,0.0377993741185642,1997,0.0699345165424232,1997,0.0381006039886176,1997,0.0541718732793328,1997,0.034924075877429,1997,0.0184079990607651,1997,0.0558483169023947,6308,1997,2.9917478344772084,1997,0.7477932958749923,1997,0.3874985434980386,1997,0.8036317229340447,1997,0.5261601869211296,1997,0.8382217338895879,1997,0.6678846516391194,Africa,Africa
146.0,QAT,Qatar,,,1100.0,1821304.86566,,,,,835,0.3335413589620467,835,0.2809112551076847,835,0.3379858242778212,835,0.3031074231275619,835,0.3498142669112091,835,0.3146200352082708,Doha,1421,0.0307327606056616,835,0.0298177037372165,835,0.0305173323462973,835,0.0305173323462973,835,0.0305173323462973,835,0.0390094009635652,835,0.0048532026811097,835,0.0175610587764325,835,0.0179962818073196,835,0.0179962818073196,835,0.0179962818073196,7354,835,3.926846773949809,835,0.1993554370791542,835,0.1618646259292072,835,0.2076057201817369,835,0.1764657670212792,835,0.2176115232983604,835,0.1901903257709492,SWAsia,SW Asia
153.0,SEN,Senegal,51496.8827909,1.0,388.0,3409806.43078,1452,277.0,1.0,3358309.54799,236,0.2000000029802322,236,0.2000000029802322,236,0.2000000029802322,236,0.2000000029802322,236,0.2000000029802322,236,0.2000000029802322,Dakar,645,0.0196000002324581,236,0.0196000002324581,236,0.0199999995529651,236,0.0199999995529651,236,0.0199999995529651,236,0.0537739686147009,236,0.0105767322926667,236,0.030552612116434,236,0.0311761342336313,236,0.0311761342336313,236,0.0311761342336313,7621,236,3.854360781483731,236,0.3117613476401163,236,0.3117613476401163,236,0.3117613476401163,236,0.3117613476401163,236,0.3117613476401163,236,0.3117613476401163,Africa,Africa
