country_na,wld_rgn,exDmg_mean,exDmg_pros_mean,exDmg_cmp_mean,exInunD_mean,exInunD_pros_mean,exInunD_cmp_mean,height_mean,height_fp_mean,n_fuas
Afghanistan,S Asia,0.0534817931033302,0.0534817931033302,0.0534817931033302,0.0449230361336701,0.0449230361336701,0.0449230361336701,5.248217137724386,4.655157755277974,1
Algeria,Africa,0.0279744091782404,0.009146863654890251,0.02685555184000725,0.0469433195300077,0.0173410811727864,0.04796390634308445,5.711568069581954,3.776077582781442,2
Angola,Africa,0.0194623093286501,0.0103465232727604,0.0194607246668261,0.0334672531267373,0.0173685490103084,0.0338782503388002,5.184686636112291,2.769826046358968,1
Argentina,S America,0.07572978900055176,0.03325000820812502,0.07572591984369907,0.041202582882436126,0.0181384709126713,0.04119425807780748,5.73424217464669,4.812401583989024,5
Armenia,SW Asia,0.0496574495021106,0.0442081134896006,0.0496574495021106,0.0381458356794695,0.0327861469691601,0.0381458356794695,7.395397445924647,5.707900252119294,1
Australia,Oceania,0.06907770261312578,0.0037852024367255404,0.06912880000197148,0.05727316674629397,0.00338825017081656,0.0573429879927677,5.670116526683209,4.518486504965805,5
Austria,Europe,0.0440650268620916,0.00063377007518126,0.0440650268620916,0.0434746116134314,0.000649357659111013,0.0434746116134314,5.337324420399876,4.588088582524343,1
Azerbaijan,SW Asia,0.0415816493769794,0.0195786565600411,0.0415743465258061,0.0376457268267757,0.0134563557618267,0.0377897644963093,7.347701450774526,4.007989570421266,1
Bahrain,SW Asia,,,,,,,6.022706289915377,,1
Bangladesh,S Asia,0.06207621061903024,0.008028428573021724,0.062041181945156176,0.05747526549047365,0.008354746583111007,0.05745026715478156,3.142298566754563,2.706042367419506,16
Belarus,Europe,0.0483765530546806,0.0216132031565965,0.0421673882424434,0.0514627676906372,0.0326744549281422,0.0635106473308567,6.9359616644353705,5.982361477139805,1
Belgium,Europe,0.05009423447317557,0.0016156710189977272,0.05011833487190113,0.04173962936396707,0.0013889790168257015,0.0417663804643233,4.703689314711508,5.965430230280153,3
Benin,Africa,0.0365028065398238,0.0301437745206856,0.0364796183584378,0.0370517169675658,0.0289231844797941,0.0370548322780267,6.729132422344346,4.392258805192082,1
Bolivia,S America,0.0779215461280008,0.0779215461280008,0.0779215461280008,0.04709322788947997,0.04709322788947997,0.04709322788947997,6.007203037197314,3.3390887348403795,3
Brazil,S America,0.07965019780634651,0.025368174087601877,0.07973730921844203,0.05075300100749718,0.0177764722277547,0.05088147084959405,6.617770980410471,4.184656914699998,21
Bulgaria,Europe,0.0365253553907588,0.0048887895037079,0.0365253553907588,0.0441295540073163,0.0054629894305851,0.0441295540073163,5.114464984951756,2.83382137513469,1
BurkinaFaso,Africa,0.0247546301343989,0.0247546301343989,0.0247546301343989,0.0340656589116508,0.0340656589116508,0.0340656589116508,4.917309162782726,3.2169799867540427,1
Cambodia,SE Asia,0.0724866773310254,0.0447811466910771,0.0724866773310254,0.0572815058631,0.0326935588633731,0.0572815058631,5.40318568027161,4.764277766158204,1
Cameroon,Africa,0.04706803857857656,0.04683673958913117,0.04683673958913117,0.0368894622353709,0.03705425541012987,0.03705425541012987,7.144659501729393,6.309518281808367,3
Canada,N America,0.06878327199464633,0.011581402239320299,0.06776276884109123,0.06222068296590682,0.0110576530918449,0.0618038501293284,5.87237338897679,4.471238776645238,6
CentralAfricanRepublic,Africa,0.0880315788650649,0.0880315788650649,0.0880315788650649,0.074770656508342,0.074770656508342,0.074770656508342,6.235897467033135,4.53266897158775,1
Chad,Africa,0.0481691558622595,0.0339042074150103,0.0481691558622595,0.0360923980443031,0.0273074832520971,0.0360923980443031,5.979883696238422,5.221809762575952,1
Chile,S America,0.0742993829579174,0.008071311230532549,0.07430896660179125,0.043717920584688555,0.0052619761822654005,0.04376329631312795,6.048176644238945,4.094324122131386,2
China,E Asia,0.0643383596692218,0.012418427655660412,0.06425187217835196,0.048820416997598585,0.010008483697004536,0.048791203368216546,7.065926889905679,6.077277869138625,117
Colombia,S America,0.08558756656211022,0.042647783316341434,0.08558756656211022,0.05318509696075334,0.027091498158696818,0.05318509696075334,7.204943509730687,5.226101047931738,5
CostaRica,C America,0.0891448525130412,0.0448424067026431,0.0891448525130412,0.0589705001938182,0.0298938582374342,0.0589705001938182,5.204217972370759,2.83420389016132,1
CotedIvoire,Africa,0.0445057163408838,0.0437404399931302,0.0437404399931302,0.0504394971763575,0.0537702154156456,0.0537702154156456,6.757071521427452,4.488424597187685,1
Croatia,Europe,0.0319281857695897,0.0012355728019602,0.0319281857695897,0.032824629264511,0.0014918011278036,0.032824629264511,3.994250728851628,3.2842650733698453,1
CzechRepublic,Europe,0.0598966698140406,0.005992787225615,0.0598966698140406,0.0665824175259894,0.0061102201945317,0.0665824175259894,4.720521629697481,4.040809591526867,1
DemocraticRepublicoftheCongo,Africa,0.06230012927463893,0.0622580840708756,0.0622580840708756,0.06571463141122647,0.06559962124878581,0.06559962124878581,6.25493934595943,4.749959651786879,5
Denmark,Europe,,,,,,,4.630870105130527,,1
DominicanRepublic,C America,0.0834072487003158,0.0064914519701069,0.0836452747515782,0.0533857479334195,0.0039862593035552,0.0555540340273533,5.544223997647405,4.593270243891932,1
Ecuador,S America,0.0859871933006494,0.044202760801483845,0.0861602682553535,0.050398260498090694,0.0269850300328957,0.05030925576986579,7.812728799898095,5.80513615707902,2
Egypt,Africa,0.050065108847503946,0.030843853671251902,0.049590057299673335,0.05800760615530434,0.03574244221735907,0.057401104580565354,4.867881150975614,3.7251759654204,12
ElSalvador,C America,0.0747384648917921,0.0747503697565762,0.0747503697565762,0.0657469926404126,0.0662869553585007,0.0662869553585007,5.051274108763586,2.8079484525515155,1
Ethiopia,Africa,0.0486723037541698,0.020252659574468,0.020252659574468,0.0686187055304749,0.0451397655736282,0.0451397655736282,6.620634949184164,3.180516836119195,1
Finland,Europe,0.051130610392656,0.0108594641419684,0.0510653109682954,0.0704911634524427,0.0157831917222277,0.0709036154906869,4.186809363331361,4.3031361990189865,1
