country_na,wld_rgn,abbreviati,exDmg_mean,exDmg_pros_mean,exInunD_mean,exInunD_pros_mean,exDep_mean,height_mean,flopros_merge_mean,flopros_model_mean,n_fuas,source
Afghanistan,S Asia,AFG,0.0531016404086019,0.0531016404086019,0.0457016545233571,0.0457016545233571,0.236218163101661,5.241949669537301,3.7804301,3.7804300785064697,1,2026-1-8 (published)
Algeria,Africa,DZA,0.0274189098081805,0.0085115730190354,0.0458027671224244,0.0161855841075235,0.1284047516836967,5.713260875259352,20.69607779759448,20.69607779168025,2,2026-1-8 (published)
Angola,Africa,AGO,0.0196617882069511,0.0103407592239699,0.032767009500651,0.0165990324990876,0.0876429013962589,5.188466754675651,16.330054623483935,16.33005465403758,1,2026-1-8 (published)
Argentina,S America,ARG,0.0740538125721492,0.0316310311862337,0.0401102357424564,0.0171284956265854,0.2536885578409616,5.734942728064228,23.55691662321344,23.556916611391294,5,2026-1-8 (published)
Australia,Oceania,AUS,0.0676606519354877,0.0071566266724418,0.0558770994022722,0.0062947131676888,0.3428590890049744,5.674276322366405,100.0,48.4598991394043,5,2026-1-8 (published)
Austria,Europe,AUT,0.0431135211685691,0.0019939931508913,0.0423192391860876,0.0016338088335771,0.212084316266188,5.337324420399881,969.8870750020292,134.15006727109215,1,2026-1-8 (published)
Bahrain,SW Asia,BHR,,,,,,6.0209841546144505,,,1,2026-1-8 (published)
Bangladesh,S Asia,BGD,0.0603958086939284,0.033358651137063,0.0560000269861119,0.0312989773226091,0.2164081978845917,3.129567826487439,50.16589054995061,2.850609318042116,16,2026-1-8 (published)
Belgium,Europe,BEL,0.0489399549817245,0.0014076744115452,0.0407458776196785,0.0012165900564277,0.2402225554818654,4.703697397519695,249.09231505037212,249.10993970911676,3,2026-1-8 (published)
Benin,Africa,BEN,0.0353836629803241,0.029028762935219,0.0359225154909676,0.0278077775862479,0.1494075717352736,6.73172468117087,9.776617284601482,9.776617284292106,1,2026-1-8 (published)
Bolivia,S America,BOL,0.0762761906613469,0.0762761906613469,0.046034061431011,0.046034061431011,0.2215450800875766,6.007203037197307,6.667246666666666,6.667246659596761,3,2026-1-8 (published)
Brazil,S America,BRA,0.078003405422548,0.0236917028109613,0.0496628607611657,0.0165860424913568,0.2564408019208012,6.575256037974795,23.4565840909479,23.4565840880373,21,2026-1-8 (published)
Bulgaria,Europe,BGR,0.0360041882132728,0.0040651036464241,0.043067559809774,0.0044009951754484,0.1604644542429816,5.114464984951759,55.39661696966922,55.39661694446516,1,2026-1-8 (published)
