Cntry_name,wld_rgn,exDmg_sum,exDmg_pros_sum,exInunD_sum,exInunD_pros_sum,totalGDP,n_fuas,exDmg_pctGDP,exDmg_pros_pctGDP,exInunD_pctGDP,exInunD_pros_pctGDP
Afghanistan,S Asia,54308555.431368,54308555.431368,28786385.62701,28786385.62701,18948104431.70129,1,0.286617,0.286617,0.151922,0.151922
Algeria,Africa,91450091.027162,11627106.057924,59471787.984022,8010739.278071,156073486928.6382,2,0.058594,0.00745,0.038105,0.005133
Angola,Africa,265123.477931,107035.874133,349479.008783,157258.779109,89722022782.28693,1,0.000295,0.000119,0.00039,0.000175
Argentina,S America,5548199509.585517,571717536.95097,2304688498.402561,375313222.747201,807999059530.915,5,0.686659,0.070757,0.285234,0.04645
Armenia,,17025308.721273,11863352.663594,7741066.401134,5704106.041675,37803630109.42658,1,0.045036,0.031382,0.020477,0.015089
Australia,Oceania,1406471884.919143,156232187.168498,765131787.523855,105009559.038651,1030866176927.3417,5,0.136436,0.015155,0.074222,0.010187
Austria,Europe,632007182.429375,13681300.450293,407505847.523517,10400249.956312,238407740898.17105,1,0.265095,0.005739,0.170928,0.004362
Azerbaijan,,12595077.379001,3606668.827555,6603844.289661,1929484.445197,149456028769.2959,1,0.008427,0.002413,0.004419,0.001291
Bahrain,SW Asia,0.0,0.0,0.0,0.0,73133656409.67934,1,0.0,0.0,0.0,0.0
Bangladesh,S Asia,7567532133.043882,4118118784.276522,6106381484.533417,3356007123.307222,513725385541.50507,16,1.47307,0.801619,1.188647,0.653269
Belarus,,68849442.009765,131623.305495,31688718.574763,142309.006896,104303723085.63702,1,0.066009,0.000126,0.030381,0.000136
Belgium,Europe,927901163.42068,25492054.637143,514633772.382743,15344784.160621,516588074841.5469,3,0.179621,0.004935,0.099622,0.00297
Benin,Africa,7289576.446224,4936838.07282,4917358.695649,3518821.100403,10208241108.232368,1,0.071409,0.048361,0.04817,0.03447
Bolivia,S America,20535669.589616,20535669.589616,6919320.140399,6919320.140399,58216492623.52593,3,0.035275,0.035275,0.011885,0.011885
Brazil,S America,2312187172.311128,559854499.240349,808149890.023322,232431152.477016,1538545167635.3057,21,0.150284,0.036389,0.052527,0.015107
Bulgaria,Europe,6767608.726502,705992.542011,8331213.443382,874358.508874,113777072458.51538,1,0.005948,0.000621,0.007322,0.000768
BurkinaFaso,Africa,57458.921114,57458.921114,73787.931612,73787.931612,17593924055.369816,1,0.000327,0.000327,0.000419,0.000419
Cambodia,SE Asia,434692969.348501,145241718.931649,241186531.487239,95807481.909861,19821448490.161285,1,2.193043,0.73275,1.216796,0.483353
Cameroon,Africa,105196582.011456,76778758.250012,64093575.363733,46939470.963806,51960137890.298706,3,0.202456,0.147765,0.123351,0.090337
Canada,N America,2843875029.528184,347140640.454564,1980943619.557255,280405717.333693,1547567144826.8525,6,0.183764,0.022431,0.128004,0.018119
CentralAfricanRepublic,,6142087.259875,6142087.259875,4803450.942102,4803450.942102,1696122360.653316,1,0.362125,0.362125,0.283202,0.283202
Chad,Africa,70915659.864593,48281197.7187,47952978.225354,32997214.873187,6181396445.929041,1,1.147243,0.781073,0.775763,0.533815
Chile,S America,197929243.766844,18672169.836094,54082657.775948,5322089.83946,252142030593.95517,2,0.078499,0.007405,0.021449,0.002111
China,E Asia,244168228244.04044,43968490002.21822,101260358351.61609,21175578712.288284,11998210908304.758,117,2.035039,0.366459,0.843962,0.176489
Colombia,S America,807828518.827622,317382375.608358,232837117.807222,98559419.920909,449075413803.5508,5,0.179887,0.070675,0.051848,0.021947
CostaRica,C America,986684.03231,484279.596619,637752.635906,314414.95615,71651696037.42061,1,0.001377,0.000676,0.00089,0.000439
CotedIvoire,Africa,82055355.915854,35222591.887137,48612529.393945,21424652.950858,65271698003.4413,1,0.125714,0.053963,0.074477,0.032824
Croatia,Europe,87911236.128043,6370170.653267,76337359.084916,5459270.052981,83549350999.53186,1,0.105221,0.007624,0.091368,0.006534
CzechRepublic,Europe,236168008.580426,11192628.907351,198935081.81777,10182403.367615,213436407899.88248,1,0.11065,0.005244,0.093206,0.004771
DemocraticRepublicoftheCongo,,129681012.377463,128408402.263488,107324223.816136,106221366.959851,40986341000.97481,5,0.316401,0.313296,0.261854,0.259163
Denmark,Europe,0.0,0.0,0.0,0.0,233110843733.4587,1,0.0,0.0,0.0,0.0
Ecuador,S America,577698715.6078,285781959.902167,185713863.552674,102009731.138526,75246453565.21701,2,0.767742,0.379795,0.246807,0.135567
Egypt,Africa,10861170588.100203,5255959792.833388,7271529371.551184,3699250570.832324,927381782279.2299,12,1.171165,0.566753,0.784092,0.398892
ElSalvador,C America,1717384.365756,1702116.054542,1058262.539375,1051274.737436,30603897360.98494,1,0.005612,0.005562,0.003458,0.003435
Ethiopia,Africa,580731.014691,917.395803,476830.331485,1834.791631,34455811834.55388,1,0.001685,3e-06,0.001384,5e-06
Finland,Europe,304924814.531015,48304234.5585,213504857.923795,36591209.380288,179556794343.8523,1,0.169821,0.026902,0.118907,0.020379
France,Europe,6970683830.085953,202351342.863291,3433262880.222062,117987903.533771,1932102065574.7866,7,0.360782,0.010473,0.177696,0.006107
Georgia,,58409853.501685,5914970.190645,23033723.676653,2819596.473502,38707977813.58955,1,0.150899,0.015281,0.059506,0.007284
Germany,Europe,5859957136.263426,215732243.627603,3657250545.607184,137743488.546566,3049680447514.4746,11,0.19215,0.007074,0.119922,0.004517
Ghana,Africa,13442241.134075,8228793.251056,8764691.102661,5397797.170021,87436846625.2716,2,0.015374,0.009411,0.010024,0.006173
Greece,Europe,13287567.707539,2535583.464372,7342982.248976,1580616.792888,214534738067.0159,2,0.006194,0.001182,0.003423,0.000737
Guatemala,C America,5365839.8234,5365839.8234,2191858.220073,2191858.220073,74057348317.5335,1,0.007246,0.007246,0.00296,0.00296
Guinea,,545188.727607,357161.843223,675770.551108,439137.092586,14181797452.870829,1,0.003844,0.002518,0.004765,0.003096
Honduras,C America,1497823.074652,1497823.074652,216709.382075,216709.382075,12966664186.351652,1,0.011551,0.011551,0.001671,0.001671
HongKong,,35313925.24216,385076.484583,4930270.941747,75982.168298,455947042746.83246,2,0.007745,8.4e-05,0.001081,1.7e-05
Hungary,Europe,413288797.902809,31995572.764828,317797797.580743,27686490.983966,235267729650.9565,1,0.175667,0.0136,0.135079,0.011768
India,S Asia,13587806289.253407,5637896105.828339,5656202333.144781,2311435998.318331,3418283830344.3955,91,0.397504,0.164934,0.165469,0.06762
Indonesia,SE Asia,3442270856.003566,969048952.944436,1617333916.085885,543617008.039252,2000018707219.5046,33,0.172112,0.048452,0.080866,0.027181
Iran,SW Asia,4393141281.069588,2333567915.457454,2121335695.340445,1164470163.522265,552949694681.8136,8,0.794492,0.422022,0.38364,0.210592
Iraq,SW Asia,6468000233.666732,1675835744.094606,3022814897.724426,920829349.092102,212341346961.6723,6,3.046039,0.789218,1.423564,0.433655
Ireland,Europe,266755770.610293,5172335.829368,144505368.278661,4138952.218694,357313046760.6409,1,0.074656,0.001448,0.040442,0.001158
Israel,SW Asia,38571182.785361,854398.119466,10481117.325907,243701.383002,186343000088.5241,1,0.020699,0.000459,0.005625,0.000131
Italy,Europe,1506123049.956819,68568984.129213,907331590.804107,44770500.774216,1053501415589.6903,4,0.142964,0.006509,0.086125,0.00425
Japan,E Asia,35351576026.22443,1284103917.48852,10676766405.56757,500470344.291532,4203056673671.211,14,0.841092,0.030552,0.254024,0.011907
Jordan,SW Asia,2919060.316481,1475408.51515,859348.61903,447158.518553,79300101542.38516,1,0.003681,0.001861,0.001084,0.000564
Kazakhstan,C Asia,393057.50151,170256.325119,278488.190606,121180.912903,124071172522.0214,1,0.000317,0.000137,0.000224,9.8e-05
Kenya,Africa,4688992.63568,440053.861486,3861396.264669,453130.776858,61630973812.45266,2,0.007608,0.000714,0.006265,0.000735
