wld_rgn,n_fuas,totalGDP_bnUSD,exDmg_bnUSD,exDmg_share_pct,exDmg_pctGDP,exDmg_pros_bnUSD,exDmg_pros_share_pct,exDmg_pros_pctGDP,exInunD_bnUSD,exInunD_share_pct,exInunD_pctGDP,exInunD_pros_bnUSD,exInunD_pros_share_pct,exInunD_pros_pctGDP
Africa,82,2902.5745,12.5058,2.8261,0.4309,6.3236,7.2944,0.2179,8.3694,4.2986,0.2883,4.4321,9.835,0.1527
C America,6,263.2017,0.0797,0.018,0.0303,0.0465,0.0537,0.0177,0.0282,0.0145,0.0107,0.0179,0.0398,0.0068
C Asia,5,260.8311,0.1587,0.0359,0.0609,0.0875,0.101,0.0336,0.0735,0.0378,0.0282,0.0404,0.0897,0.0155
E Asia,146,20021.2752,296.4853,67.0015,1.4809,45.8034,52.8346,0.2288,119.3857,61.3175,0.5963,22.0236,48.8717,0.11
Europe,86,18065.837,31.9881,7.2289,0.1771,2.5968,2.9955,0.0144,18.4572,9.4798,0.1022,1.6959,3.7633,0.0094
N America,61,17459.583,20.5653,4.6475,0.1178,1.2395,1.4298,0.0071,10.9497,5.6239,0.0627,0.7586,1.6834,0.0043
Oceania,6,1140.6748,1.4065,0.3178,0.1233,0.1562,0.1802,0.0137,0.7651,0.393,0.0671,0.105,0.233,0.0092
S America,46,3515.028,9.7606,2.2058,0.2777,1.8211,2.1007,0.0518,3.6984,1.8995,0.1052,0.8482,1.8821,0.0241
S Asia,123,4627.126,24.1627,5.4604,0.5222,12.7412,14.6971,0.2754,13.2472,6.8039,0.2863,7.1413,15.847,0.1543
SE Asia,52,4824.3148,30.9434,6.9928,0.6414,11.2028,12.9225,0.2322,13.2071,6.7833,0.2738,5.6192,12.4693,0.1165
SW Asia,43,5400.7074,14.4494,3.2654,0.2675,4.6732,5.3906,0.0865,6.5192,3.3483,0.1207,2.3819,5.2856,0.0441
