wld_rgn,n_fuas,totalGDP_bnUSD,exDmg_bnUSD,exDmg_share_pct,exDmg_pctGDP,exDmg_pros_bnUSD,exDmg_pros_share_pct,exDmg_pros_pctGDP,exDmg_cmp_bnUSD,exDmg_cmp_share_pct,exDmg_cmp_pctGDP,exInunD_bnUSD,exInunD_share_pct,exInunD_pctGDP,exInunD_pros_bnUSD,exInunD_pros_share_pct,exInunD_pros_pctGDP,exInunD_cmp_bnUSD,exInunD_cmp_share_pct,exInunD_cmp_pctGDP
Africa,82,2902.5745,12.9233,2.8256,0.4452,6.0016,8.4058,0.2068,12.5178,2.8194,0.4313,8.642,4.2747,0.2977,4.4069,11.628,0.1518,8.3253,4.2552,0.2868
C America,7,396.765,0.1524,0.0333,0.0384,0.054,0.0756,0.0136,0.1477,0.0333,0.0372,0.0567,0.0281,0.0143,0.0221,0.0584,0.0056,0.0552,0.0282,0.0139
C Asia,5,260.8311,0.1658,0.0363,0.0636,0.0931,0.1304,0.0357,0.1657,0.0373,0.0635,0.0763,0.0378,0.0293,0.0428,0.1129,0.0164,0.0763,0.039,0.0292
E Asia,146,20021.2752,304.7855,66.6405,1.5223,40.1423,56.2233,0.2005,296.9153,66.8738,1.483,123.6036,61.1397,0.6174,20.0605,52.9319,0.1002,119.9124,61.2889,0.5989
Europe,86,18065.837,32.9997,7.2153,0.1827,2.8046,3.9281,0.0155,32.5644,7.3344,0.1803,19.0718,9.4337,0.1056,1.8665,4.925,0.0103,18.8419,9.6304,0.1043
N America,69,18199.1044,23.3983,5.116,0.1286,0.9057,1.2686,0.005,22.7547,5.125,0.125,12.0892,5.9798,0.0664,0.4841,1.2774,0.0027,11.6558,5.9575,0.064
Oceania,6,1140.6748,1.4396,0.3148,0.1262,0.0821,0.1149,0.0072,1.4114,0.3179,0.1237,0.7905,0.391,0.0693,0.0573,0.1512,0.005,0.7749,0.396,0.0679
S America,46,3515.028,10.0265,2.1923,0.2852,1.9877,2.7839,0.0565,9.8096,2.2094,0.2791,3.8452,1.902,0.1094,0.9378,2.4745,0.0267,3.7803,1.9322,0.1075
S Asia,123,4627.126,24.8143,5.4256,0.5363,4.867,6.8167,0.1052,24.2899,5.4708,0.5249,13.6587,6.7562,0.2952,2.7579,7.2771,0.0596,13.3184,6.8072,0.2878
SE Asia,52,4824.3148,31.9083,6.9767,0.6614,9.4972,13.3018,0.1969,29.6168,6.6706,0.6139,13.695,6.7741,0.2839,4.7466,12.5245,0.0984,12.5064,6.3922,0.2592
SW Asia,43,5400.7074,14.7439,3.2237,0.273,4.9628,6.9508,0.0919,13.7998,3.1081,0.2555,6.637,3.2829,0.1229,2.5162,6.6392,0.0466,6.4042,3.2733,0.1186
